Date,Close/Last,Open,High,Low,Volume
10/23/2022,1811.4490257050427,1807.8261276536325,1811.842223656759,1800.4942739333994,337281
10/24/2022,1809.1681005115688,1811.4490257050427,1817.1836329172609,1803.4153556637148,208297
10/25/2022,1823.9530970581582,1809.1681005115688,1832.629672421005,1805.6568154453814,306946
10/26/2022,1858.017898579071,1823.9530970581582,1863.6069262282142,1817.8051868563396,138346
10/27/2022,1853.5403718035188,1858.017898579071,1865.628236394729,1851.131649944222,212138
10/28/2022,1849.074000325402,1853.5403718035188,1861.7349336876482,1845.8825706361943,150772
10/29/2022,1884.854606223157,1849.074000325402,1887.0040922668784,1840.5915042343922,303156
10/30/2022,1902.96658267628,1884.854606223157,1904.9841538981516,1882.11681244494,140149
10/31/2022,1893.0070404950704,1902.96658267628,1908.7799646984497,1888.5585849922052,186700
11/01/2022,1906.0890831000631,1893.0070404950704,1910.0063674957728,1884.5818232944457,258598
11/02/2022,1896.2517338710802,1906.0890831000631,1914.0933354036254,1889.5416446833683,196758
11/03/2022,1886.4125443319533,1896.2517338710802,1904.785085912418,1885.8258396012782,316784
11/04/2022,1892.6443973217326,1886.4125443319533,1895.9889022888874,1885.0231727792227,228447
11/05/2022,1849.947545453966,1892.6443973217326,1894.8859560034005,1849.8750127959613,299549
11/06/2022,1812.3954343477405,1849.947545453966,1857.167201759414,1806.6780354875314,105695
11/07/2022,1800.8913443120355,1812.3954343477405,1814.8857203685338,1796.8602883275348,139169
11/08/2022,1779.7237152754387,1800.8913443120355,1808.2985393416275,1778.5288545928595,147947
11/09/2022,1787.1468859249312,1779.7237152754387,1790.9332984272096,1771.1994249108573,278296
11/10/2022,1768.38847589235,1787.1468859249312,1793.1119345435222,1763.7052551325012,145865
11/11/2022,1739.1258122038896,1768.38847589235,1769.2331936324802,1737.022397845936,256625
11/12/2022,1770.408833796647,1739.1258122038896,1775.931264093916,1734.7727492425065,204501
11/13/2022,1766.3204010480463,1770.408833796647,1774.407901242948,1760.318264754661,160410
11/14/2022,1768.458246555503,1766.3204010480463,1773.6452094265123,1765.6470866177128,203754
11/15/2022,1738.9303377040349,1768.458246555503,1769.9438771116274,1736.5418837146858,190895
11/16/2022,1728.2661862191305,1738.9303377040349,1745.33719825474,1721.2929303624278,255888
11/17/2022,1731.2579378266191,1728.2661862191305,1738.7265592727706,1724.294069956582,286098
11/18/2022,1708.0384397941518,1731.2579378266191,1733.1341003233697,1703.3705659496318,150705
11/19/2022,1716.4221350551363,1708.0384397941518,1717.2435679638454,1704.3421079484926,292994
11/20/2022,1704.7373093985925,1716.4221350551363,1716.625004016793,1704.3631200480727,215700
11/21/2022,1699.4520697040602,1704.7373093985925,1710.2092732404737,1698.0436506722185,173914
11/22/2022,1687.8609919618475,1699.4520697040602,1704.6107057847405,1684.1009302002117,101881
11/23/2022,1726.052793485367,1687.8609919618475,1730.7709364673988,1686.0956120261103,270639
11/24/2022,1726.4636515332027,1726.052793485367,1728.4658926858172,1725.6214612751983,147365
11/25/2022,1705.2410433217547,1726.4636515332027,1729.838076498689,1698.0479131551258,179211
11/26/2022,1722.7547878682094,1705.2410433217547,1727.875472631791,1696.875194461098,301194
11/27/2022,1698.2053188646437,1722.7547878682094,1727.033825290979,1691.4707216284394,256078
11/28/2022,1703.1409202076406,1698.2053188646437,1711.5526099069737,1690.9558083886172,141198
11/29/2022,1663.7710440386675,1703.1409202076406,1704.3028008362526,1661.7580713249622,253903
11/30/2022,1637.918982585243,1663.7710440386675,1669.5538509408952,1630.0518367933603,200649
12/01/2022,1642.44346324026,1637.918982585243,1645.7638168289511,1636.3062408378269,247531
12/02/2022,1657.6551159111743,1642.44346324026,1661.2041523227376,1634.6301148764564,263515
12/03/2022,1661.7270120537721,1657.6551159111743,1667.68927000869,1649.4097794509255,273388
12/04/2022,1660.0855923616878,1661.7270120537721,1667.4802113376631,1654.1779884838165,327203
12/05/2022,1654.7513317163769,1660.0855923616878,1668.3134413291236,1646.6335872324385,295558
12/06/2022,1626.054197458674,1654.7513317163769,1655.8136348236717,1621.4236847127502,236949
12/07/2022,1612.658550778739,1626.054197458674,1626.9006371205594,1610.5657893991227,139553
12/08/2022,1604.3893775653485,1612.658550778739,1618.499106714257,1600.88381978034,345209
12/09/2022,1625.383561362781,1604.3893775653485,1630.0840642978285,1599.627863267051,235994
12/10/2022,1632.7358530183042,1625.383561362781,1634.974012767202,1624.7896335149937,222778
12/11/2022,1598.8460008958511,1632.7358530183042,1633.384207274166,1593.8708456967622,217018
12/12/2022,1605.7034635972655,1598.8460008958511,1606.3911723375786,1591.002239593476,235758
12/13/2022,1598.9258095654914,1605.7034635972655,1612.8824905200916,1597.4059694263162,132766
12/14/2022,1586.5772032010948,1598.9258095654914,1600.459717653017,1580.2896364867365,311015
12/15/2022,1598.857493949738,1586.5772032010948,1601.442619176831,1579.3749455559723,132006
